"EMPLOYEE_ID","ALTERNATE_ID","PERSON_TITLE","FORM_OF_ADDRESS","NAME","FIRST_NAME","MIDDLE_NAME","LAST_NAME","PRONOUN","SUFFIX","NAME_TYPE","NAME_FORMAT","COUNTRY","GENDER_IDENTITY","BIRTH_DATE","GENDER","MILITARY_STATUS","ETHNICITY","MARRIAGE_STATUS","PHOTO_URL","ROLES","__ROW_MD5","__DLH_IS_DELETED","__DLH_SYNC_TS","__DLH_START_TS","__DLH_FINISH_TS","__DLH_IS_ACTIVE"
"00001000483","65656565656"," ",NULL,"Aruna Udayanga Tebel","Aruna","Udayanga","Tebel",NULL,NULL,"PRI",NULL,"US",NULL,"1970-09-15","F","1","NSPEC","M","/v1/profile/31T/00001000483/photos/182902","[{""role"":""CDM""},{""role"":""EPTAG""},{""role"":""HRAUTH""},{""role"":""HRAdmin""},{""role"":""HRENTRY""},{""role"":""HRSECURITY""},{""role"":""I9_AUTH""},{""role"":""IMMI_ADMIN""},{""role"":""INTG_ADM""},{""role"":""MTAG""},{""role"":""WFA_ADMIN""}]","583f7c9e5f5c8000c1ad748b9f9e0566","false","2023-01-19T14:54:17.515458Z","2023-01-19T14:54:17.515458Z","2023-01-19T14:54:17.515458Z","true"
"00001000840","115",NULL,NULL,"BobTrinetbob BT Trinetbob","BobTrinetbob","BT","Trinetbob",NULL,NULL,"PRI","US","US",NULL,"1977-06-15","M","1","NSPEC","M",NULL,"[{""role"":""APPROVER""},{""role"":""CDM""},{""role"":""EPTAG""},{""role"":""HRAUTH""},{""role"":""HRAdmin""},{""role"":""HRENTRY""},{""role"":""HRPAY_W2""},{""role"":""HRSECURITY""},{""role"":""I9_AUTH""},{""role"":""IMMI_ADMIN""},{""role"":""INITIATOR""},{""role"":""INTG_ADM""},{""role"":""MTAG""},{""role"":""SAV_PLN_ADM""},{""role"":""WFA_USER""}]","34c02539df1ea7f59d7576dc92ed2939","false","2023-01-19T14:54:17.517052Z","2023-01-19T14:54:17.517052Z","2023-01-19T14:54:17.517052Z","true"
"00001004131","110","Mr","a","Ivan 110 Cekerevac","Ivan","110","Cekerevac",NULL,"Mr","PRF",NULL,"US",NULL,"1933-02-18","F","1","NSPEC","E","/v1/profile/31T/00001004131/photos/78603","[{""role"":""APPROVER""},{""role"":""CDM""},{""role"":""EPTAG""},{""role"":""HRENTRY""},{""role"":""HRPAY_W2""},{""role"":""HRSECURITY""},{""role"":""I9_AUTH""},{""role"":""INITIATOR""},{""role"":""INTG_ADM""},{""role"":""MTAG""},{""role"":""SAV_PLN_ADM""},{""role"":""WFA_USER""}]","8700df6b155aa377f8b746ca0168750e","false","2023-01-19T14:54:17.517975Z","2023-01-19T14:54:17.517975Z","2023-01-19T14:54:17.517975Z","true"
"00001004410","506",NULL,NULL,"Timothy C Argon","Timothy","C","Argon",NULL," ","PRF",NULL,"US",NULL,"1958-01-01","F","3","WHITE","S",NULL,"[{""role"":""HRAUTH""}]","85c824a27b5cdf9aa62b65eff4f5d340","false","2023-01-19T14:54:17.518829Z","2023-01-19T14:54:17.518829Z","2023-01-19T14:54:17.518829Z","true"
"00001005489","1234"," "," ","Lisa C Bonnett","Lisa","C","Bonnett",NULL," ","PRI",NULL,"US",NULL,"1979-01-16","F","2","WHITE","M",NULL,NULL,"403ef4ab025a89b422d8de72010dbb44","false","2023-01-19T14:54:17.519252Z","2023-01-19T14:54:17.519252Z","2023-01-19T14:54:17.519252Z","true"
"00001005491","3555"," "," ","Walter C Book","Walter","C","Book",NULL," ","PRF",NULL,"US",NULL,"1965-04-14","M","4","WHITE","S",NULL,NULL,"84d6f56e02b051ea912ff93b0ce10c4d","false","2023-01-19T14:54:17.519741Z","2023-01-19T14:54:17.519741Z","2023-01-19T14:54:17.519741Z","true"
"00001005492",NULL," "," ","Lee Boa","Lee"," ","Boa",NULL," ","PRI",NULL,"US",NULL,"1968-12-14","F","4","ASIAN","M",NULL,NULL,"46486ecfa560a0b00b2a9002d285cab3","false","2023-01-19T14:54:17.520419Z","2023-01-19T14:54:17.520419Z","2023-01-19T14:54:17.520419Z","true"
"00001005493",NULL," "," ","James M Booker","James","M","Booker",NULL," ","PRI",NULL,"US",NULL,"1964-02-27","M","4","WHITE","M",NULL,NULL,"1698df417c33f1e8812d0e16b6dded24","false","2023-01-19T14:54:17.520788Z","2023-01-19T14:54:17.520788Z","2023-01-19T14:54:17.520788Z","true"
"00001005494",NULL," "," ","Stephen Book","Stephen"," ","Book",NULL," ","PRF",NULL,"US",NULL,"1969-10-08","M","2","HISPA","S",NULL,NULL,"e97bd2c43a90e24c08ed0043ae6bbf11","false","2023-01-19T14:54:17.521260Z","2023-01-19T14:54:17.521260Z","2023-01-19T14:54:17.521260Z","true"
"00001005496","142"," "," ","Annie Bond","Annie"," ","Bond",NULL," ","PRF",NULL,"US",NULL,"1976-11-16","F","1","WHITE","C",NULL,"[{""role"":""APPROVER""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAUTH_R""},{""role"":""HRAdmin""},{""role"":""HRENTRY""},{""role"":""HRPAY_W2""},{""role"":""HRSECURITY""},{""role"":""I9_AUTH""},{""role"":""INITIATOR""},{""role"":""INTG_ADM""},{""role"":""MTAG""},{""role"":""TIMEOFF_ADM""},{""role"":""WFA_USER""}]","8a2a0cedd5c9e47ff2eddc9f57645b6b","false","2023-01-19T14:54:17.521967Z","2023-01-19T14:54:17.521967Z","2023-01-19T14:54:17.521967Z","true"
